bottomc TotalCurrent(n19_des) X,bottomc TotalCurrent(n19_des) Y,bottomc TotalCurrent(n39_des) X,bottomc TotalCurrent(n39_des) Y,bottomc TotalCurrent(n54_des) X,bottomc TotalCurrent(n54_des) Y,bottomc TotalCurrent(n69_des) X,bottomc TotalCurrent(n69_des) Y,bottomc TotalCurrent(n84_des) X,bottomc TotalCurrent(n84_des) Y
-1.5,1.5117833e-50,-1.5,1.4766629e-51,-1.5,-7.0634012e-52,-1.5,3.9141836e-51,-1.5,5.5608632e-51
-1.5,6.4625372e-52,-1.5,1.9647143e-52,-1.5,-1.0808463e-51,-1.5,-2.6495551e-52,-1.5,5.5608632e-51
-1.5,1.0975854e-17,-1.5,1.0974438e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974438e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974438e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974438e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974438e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974438e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974438e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974438e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974438e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974438e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974437e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974437e-17,-1.5,1.0965193e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974437e-17,-1.5,1.0965192e-17,-1.5,1.0973499e-17,-1.5,1.0978718e-17
