bottomc TotalCurrent(n2_des) X,bottomc TotalCurrent(n2_des) Y,bottomc TotalCurrent(n328_des) X,bottomc TotalCurrent(n328_des) Y,bottomc TotalCurrent(n340_des) X,bottomc TotalCurrent(n340_des) Y,bottomc TotalCurrent(n352_des) X,bottomc TotalCurrent(n352_des) Y,bottomc TotalCurrent(n364_des) X,bottomc TotalCurrent(n364_des) Y
-1.290559,-7.5976798e-17,-1.290559,-7.6142072e-17,-1.290559,-7.6110156e-17,-1.290559,-7.6282084e-17,-1.290559,-7.6141045e-17
-1.2037826,-7.5976798e-17,-1.2037826,-7.6142072e-17,-1.2037826,-7.6110156e-17,-1.2037826,-7.6282084e-17,-1.2037826,-7.6141045e-17
-1.0822957,-7.5976785e-17,-1.0822957,-7.6142072e-17,-1.0822957,-7.6110156e-17,-1.0822957,-7.6282084e-17,-1.0822957,-7.6141045e-17
-0.93229566,-7.5975399e-17,-0.93229566,-7.6142035e-17,-0.93229566,-7.6110156e-17,-0.93229566,-7.6282084e-17,-0.93229566,-7.6141045e-17
-0.78229566,-7.583082e-17,-0.78229566,-7.6136332e-17,-0.78229566,-7.6110014e-17,-0.78229566,-7.628207e-17,-0.78229566,-7.6141039e-17
-0.63229566,-6.0683113e-17,-0.63229566,-7.525327e-17,-0.63229566,-7.6075404e-17,-0.63229566,-7.6277878e-17,-0.63229566,-7.613904e-17
-0.48229566,1.3783445e-15,-0.48229566,5.6379785e-17,-0.48229566,-6.7519019e-17,-0.48229566,-7.4994755e-17,-0.48229566,-7.5500909e-17
-0.33229566,1.2217701e-13,-0.33229566,1.7533201e-14,-0.33229566,1.857188e-15,-0.33229566,3.0238488e-16,-0.33229566,1.2291188e-16
-0.18229566,7.7043013e-12,-0.18229566,1.9861808e-12,-0.18229566,4.0419383e-13,-0.18229566,1.083539e-13,-0.18229566,6.0939948e-14
-0.032295657,2.0729196e-10,-0.032295657,1.1667574e-10,-0.032295657,5.5800815e-11,-0.032295657,2.5504784e-11,-0.032295657,1.6435056e-11
0.11770434,9.7287909e-10,0.11770434,8.7804238e-10,0.11770434,8.123014e-10,0.11770434,7.6918299e-10,0.11770434,7.3444394e-10
0.26770434,1.7403837e-09,0.26770434,1.6821568e-09,0.26770434,1.6580113e-09,0.26770434,1.6551777e-09,0.26770434,1.6580064e-09
0.41770434,2.3382749e-09,0.41770434,2.3006554e-09,0.41770434,2.2905878e-09,0.41770434,2.2887138e-09,0.41770434,2.2928984e-09
0.56770434,2.8097864e-09,0.56770434,2.7858693e-09,0.56770434,2.7845431e-09,0.56770434,2.7831302e-09,0.56770434,2.788147e-09
