bottomc TotalCurrent(n16_des) X,bottomc TotalCurrent(n16_des) Y,bottomc TotalCurrent(n36_des) X,bottomc TotalCurrent(n36_des) Y,bottomc TotalCurrent(n51_des) X,bottomc TotalCurrent(n51_des) Y,bottomc TotalCurrent(n66_des) X,bottomc TotalCurrent(n66_des) Y,bottomc TotalCurrent(n81_des) X,bottomc TotalCurrent(n81_des) Y
-1.290559,-3.2879301e-17,-1.290559,-3.2905403e-17,-1.290559,-3.2893572e-17,-1.290559,-3.2920474e-17,-1.290559,-3.2936153e-17
-1.2037826,-3.2879301e-17,-1.2037826,-3.2905403e-17,-1.2037826,-3.2893572e-17,-1.2037826,-3.2920474e-17,-1.2037826,-3.2936153e-17
-1.0822957,-3.2879301e-17,-1.0822957,-3.2905403e-17,-1.0822957,-3.2893572e-17,-1.0822957,-3.2920474e-17,-1.0822957,-3.2936153e-17
-0.93229566,-3.2879292e-17,-0.93229566,-3.2905402e-17,-0.93229566,-3.2893571e-17,-0.93229566,-3.2920474e-17,-0.93229566,-3.2936153e-17
-0.78229566,-3.2877524e-17,-0.78229566,-3.2904982e-17,-0.78229566,-3.2893501e-17,-0.78229566,-3.2920457e-17,-0.78229566,-3.2936147e-17
-0.63229566,-3.2530147e-17,-0.63229566,-3.2808122e-17,-0.63229566,-3.2873752e-17,-0.63229566,-3.2915005e-17,-0.63229566,-3.2933998e-17
-0.48229566,3.6799129e-17,-0.48229566,-1.0042331e-17,-0.48229566,-2.724573e-17,-0.48229566,-3.1200498e-17,-0.48229566,-3.2237301e-17
-0.33229566,1.1584949e-14,-0.33229566,4.6396788e-15,-0.33229566,1.4416718e-15,-0.33229566,4.8343962e-16,-0.33229566,1.8868681e-16
-0.18229566,1.6369843e-12,-0.18229566,8.552961e-13,-0.18229566,3.6145852e-13,-0.18229566,1.5098894e-13,-0.18229566,6.939388e-14
-0.032295657,1.122938e-10,-0.032295657,8.5977397e-11,-0.032295657,5.7772487e-11,-0.032295657,3.4408739e-11,-0.032295657,1.9045515e-11
0.11770434,9.3942921e-10,0.11770434,9.1556741e-10,0.11770434,8.9018921e-10,0.11770434,8.6321893e-10,0.11770434,8.1271442e-10
0.26770434,1.909323e-09,0.26770434,1.9023015e-09,0.26770434,1.8902657e-09,0.26770434,1.8870943e-09,0.26770434,1.8841321e-09
0.41770434,2.7081991e-09,0.41770434,2.7081188e-09,0.41770434,2.6972426e-09,0.41770434,2.6936049e-09,0.41770434,2.6905781e-09
0.56770434,3.3697937e-09,0.56770434,3.3744966e-09,0.56770434,3.364463e-09,0.56770434,3.3601299e-09,0.56770434,3.356871e-09
0.71770434,3.9242537e-09,0.71770434,3.9324867e-09,0.71770434,3.9231336e-09,0.71770434,3.9180474e-09,0.71770434,3.9145226e-09
0.86770434,4.3941159e-09,0.86770434,4.4050512e-09,0.86770434,4.3962458e-09,0.86770434,4.390391e-09,0.86770434,4.3865883e-09
1.0177043,4.7962106e-09,1.0177043,4.8092771e-09,1.0177043,4.8009238e-09,1.0177043,4.7943029e-09,1.0177043,4.7902064e-09
1.1677043,5.1385876e-09,1.1677043,5.1533551e-09,1.1677043,5.1451649e-09,1.1677043,5.137504e-09,1.1677043,5.1325318e-09
1.3177043,5.4148774e-09,1.3177043,5.4293897e-09,1.3177043,5.4199716e-09,1.3177043,5.410861e-09,1.3177043,5.4074679e-09
1.4677043,5.6419208e-09,1.4677043,5.6444799e-09,1.4677043,5.6421943e-09,1.3927043,5.5279226e-09,1.4677043,5.6338273e-09
1.4838522,5.6634604e-09,1.5,5.6838514e-09,1.5,5.6848255e-09,1.4977043,5.6761838e-09,1.5,5.6761026e-09
1.5,5.6843621e-09,-,-,-,-,1.5,5.6792161e-09,-,-

