bottomc TotalCurrent(n13_des) X,bottomc TotalCurrent(n13_des) Y,bottomc TotalCurrent(n337_des) X,bottomc TotalCurrent(n337_des) Y,bottomc TotalCurrent(n349_des) X,bottomc TotalCurrent(n349_des) Y,bottomc TotalCurrent(n361_des) X,bottomc TotalCurrent(n361_des) Y,bottomc TotalCurrent(n373_des) X,bottomc TotalCurrent(n373_des) Y
-2,-2.0322857e-49,-2,-9.9766454e-50,-2,1.1026198e-46,-2,-2.2714321e-45,-2,4.8298268e-45
-2,7.521134e-50,-2,-3.2983806e-50,-2,1.8115582e-47,-2,-2.2714321e-45,-2,5.0568354e-41
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5372076e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5372074e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5372073e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.537207e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5372067e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5372063e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5372056e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5372048e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5372037e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5372022e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5372002e-17
-2,2.5408196e-17,-2,2.5405805e-17,-2,2.5363911e-17,-2,2.5422264e-17,-2,2.5371978e-17
