bottomc TotalCurrent(n22_des) X,bottomc TotalCurrent(n22_des) Y,bottomc TotalCurrent(n42_des) X,bottomc TotalCurrent(n42_des) Y,bottomc TotalCurrent(n57_des) X,bottomc TotalCurrent(n57_des) Y,bottomc TotalCurrent(n72_des) X,bottomc TotalCurrent(n72_des) Y,bottomc TotalCurrent(n87_des) X,bottomc TotalCurrent(n87_des) Y
-1.5,-5.2112787e-46,-1.5,-1.9554481e-47,-1.5,-2.8824115e-50,-1.5,2.9351534e-50,-1.5,-3.3043467e-50
-1.5,-1.8229887e-41,-1.5,1.2316915e-43,-1.5,-4.1154876e-42,-1.5,-1.1936503e-43,-1.5,-2.585461e-42
-1.5,1.1006415e-17,-1.5,1.1039553e-17,-1.5,1.103325e-17,-1.5,1.1040746e-17,-1.5,1.1005941e-17
-1.5,1.1006106e-17,-1.5,1.103937e-17,-1.5,1.1033067e-17,-1.5,1.1040475e-17,-1.5,1.100566e-17
-1.5,1.1005678e-17,-1.5,1.1039116e-17,-1.5,1.103281e-17,-1.5,1.1040096e-17,-1.5,1.1005271e-17
-1.5,1.1005087e-17,-1.5,1.1038761e-17,-1.5,1.1032453e-17,-1.5,1.1039566e-17,-1.5,1.1004734e-17
-1.5,1.1004277e-17,-1.5,1.1038269e-17,-1.5,1.1031954e-17,-1.5,1.1038825e-17,-1.5,1.1003997e-17
-1.5,1.1003174e-17,-1.5,1.103759e-17,-1.5,1.1031261e-17,-1.5,1.1037793e-17,-1.5,1.1002997e-17
-1.5,1.100169e-17,-1.5,1.1036655e-17,-1.5,1.1030299e-17,-1.5,1.1036354e-17,-1.5,1.1001653e-17
-1.5,1.0999728e-17,-1.5,1.1035377e-17,-1.5,1.1028968e-17,-1.5,1.1034357e-17,-1.5,1.0999881e-17
-1.5,1.0997199e-17,-1.5,1.1033644e-17,-1.5,1.1027133e-17,-1.5,1.1031593e-17,-1.5,1.0997603e-17
-1.5,1.0994056e-17,-1.5,1.1031319e-17,-1.5,1.1024613e-17,-1.5,1.1027798e-17,-1.5,1.0994783e-17
-1.5,1.0990356e-17,-1.5,1.1028233e-17,-1.5,1.1021172e-17,-1.5,1.1022648e-17,-1.5,1.099148e-17
-1.5,1.0986334e-17,-1.5,1.1024188e-17,-1.5,1.1016503e-17,-1.5,1.1015817e-17,-1.5,1.0987911e-17
-1.5,1.0982646e-17,-1.5,1.1019287e-17,-1.5,1.1010647e-17,-1.5,1.100769e-17,-1.5,1.0984656e-17
-1.5,1.0980007e-17,-1.5,1.1014242e-17,-1.5,1.1004478e-17,-1.5,1.0999866e-17,-1.5,1.0982339e-17
-1.5,1.0978377e-17,-1.5,1.1009514e-17,-1.5,1.0998667e-17,-1.5,1.0993363e-17,-1.5,1.0980914e-17
-1.5,1.0977381e-17,-1.5,1.1005069e-17,-1.5,1.0993276e-17,-1.5,1.098816e-17,-1.5,1.0980045e-17
-1.5,1.0976777e-17,-1.5,1.1000905e-17,-1.5,1.0988373e-17,-1.5,1.0984135e-17,-1.5,1.0979518e-17
-1.5,1.0976411e-17,-1.5,1.0997041e-17,-1.5,1.0984017e-17,-1.5,1.098111e-17,-1.5,1.09792e-17
-1.5,1.097619e-17,-1.5,1.0993502e-17,-1.5,1.0980242e-17,-1.5,1.0978887e-17,-1.5,1.0979008e-17
-1.5,1.0976057e-17,-1.5,1.0990316e-17,-1.5,1.097705e-17,-1.5,1.0977284e-17,-1.5,1.0978892e-17
-1.5,1.0975976e-17,-1.5,1.09875e-17,-1.5,1.0974416e-17,-1.5,1.0976143e-17,-1.5,1.0978823e-17
-1.5,1.0975928e-17,-1.5,1.0985057e-17,-1.5,1.0972287e-17,-1.5,1.0975338e-17,-1.5,1.0978781e-17
-1.5,1.0975899e-17,-1.5,1.0982979e-17,-1.5,1.09706e-17,-1.5,1.0974774e-17,-1.5,1.0978756e-17
-1.5,1.0975882e-17,-1.5,1.0981241e-17,-1.5,1.0969283e-17,-1.5,1.0974381e-17,-1.5,1.0978741e-17
-1.5,1.0975871e-17,-1.5,1.0979812e-17,-1.5,1.0968268e-17,-1.5,1.0974109e-17,-1.5,1.0978732e-17
-1.5,1.0975865e-17,-1.5,1.0978653e-17,-1.5,1.0967494e-17,-1.5,1.097392e-17,-1.5,1.0978726e-17
-1.5,1.0975861e-17,-1.5,1.0977724e-17,-1.5,1.0966909e-17,-1.5,1.0973789e-17,-1.5,1.0978723e-17
-1.5,1.0975859e-17,-1.5,1.0976988e-17,-1.5,1.0966469e-17,-1.5,1.0973699e-17,-1.5,1.0978721e-17
-1.5,1.0975857e-17,-1.5,1.0976409e-17,-1.5,1.096614e-17,-1.5,1.0973637e-17,-1.5,1.097872e-17
-1.5,1.0975857e-17,-1.5,1.0976116e-17,-1.5,1.0965979e-17,-1.5,1.0973608e-17,-1.5,1.0978719e-17
-1.497,-3.2878833e-17,-1.497,-3.2909941e-17,-1.497,-3.2895838e-17,-1.497,-3.2920793e-17,-1.497,-3.2936157e-17
-1.4928,-3.2878819e-17,-1.4928,-3.291003e-17,-1.4928,-3.2895888e-17,-1.4928,-3.2920802e-17,-1.4928,-3.2936157e-17
-1.48692,-3.2878798e-17,-1.48692,-3.2910158e-17,-1.48692,-3.289596e-17,-1.48692,-3.2920814e-17,-1.48692,-3.2936157e-17
-1.478688,-3.2878768e-17,-1.478688,-3.2910343e-17,-1.478688,-3.2896064e-17,-1.478688,-3.2920833e-17,-1.478688,-3.2936158e-17
-1.4671632,-3.2878724e-17,-1.4671632,-3.2910613e-17,-1.4671632,-3.2896218e-17,-1.4671632,-3.292086e-17,-1.4671632,-3.2936158e-17
-1.4510285,-3.2878659e-17,-1.4510285,-3.2911013e-17,-1.4510285,-3.2896449e-17,-1.4510285,-3.2920902e-17,-1.4510285,-3.2936159e-17
-1.4284399,-3.2878558e-17,-1.4284399,-3.2911623e-17,-1.4284399,-3.2896806e-17,-1.4284399,-3.2920969e-17,-1.4284399,-3.293616e-17
-1.3968158,-3.2878399e-17,-1.3968158,-3.2912581e-17,-1.3968158,-3.2897381e-17,-1.3968158,-3.292108e-17,-1.3968158,-3.2936162e-17
-1.3525421,-3.2878147e-17,-1.3525421,-3.2914154e-17,-1.3525421,-3.2898356e-17,-1.3525421,-3.2921279e-17,-1.3525421,-3.2936167e-17
-1.290559,-3.2877745e-17,-1.290559,-3.291689e-17,-1.290559,-3.2900138e-17,-1.290559,-3.2921674e-17,-1.290559,-3.2936176e-17
-1.2037826,-3.2877026e-17,-1.2037826,-3.2922011e-17,-1.2037826,-3.2903733e-17,-1.2037826,-3.2922573e-17,-1.2037826,-3.2936203e-17
-1.0822957,-3.2866353e-17,-1.0822957,-3.2931794e-17,-1.0822957,-3.2911902e-17,-1.0822957,-3.2925062e-17,-1.0822957,-3.2936302e-17
-0.93229566,-3.0760986e-17,-0.93229566,-3.2797985e-17,-0.93229566,-3.2925481e-17,-0.93229566,-3.2932394e-17,-0.93229566,-3.2936619e-17
-0.78229566,4.5293855e-16,-0.78229566,1.218804e-17,-0.78229566,-3.1338831e-17,-0.78229566,-3.279462e-17,-0.78229566,-3.2890787e-17
-0.63229566,8.9911755e-14,-0.63229566,1.0885481e-14,-0.63229566,5.6337531e-16,-0.63229566,3.7092547e-17,-0.63229566,-1.104239e-17
-0.48229566,1.5207708e-11,-0.48229566,2.2834488e-12,-0.48229566,1.6640186e-13,-0.48229566,2.3621058e-14,-0.48229566,7.8866386e-15
-0.33229566,2.1926228e-09,-0.33229566,4.3682686e-10,-0.33229566,4.3828391e-11,-0.33229566,7.3568818e-12,-0.33229566,2.5627669e-12
-0.18229566,1.1807095e-07,-0.18229566,4.7353684e-08,-0.18229566,9.3482795e-09,-0.18229566,2.122472e-09,-0.18229566,7.965761e-10
-0.032295657,8.2591053e-07,-0.032295657,5.8516587e-07,-0.032295657,3.1383632e-07,-0.032295657,1.4854045e-07,-0.032295657,7.3090363e-08
0.042704343,1.4126878e-06,0.042704343,1.1223866e-06,0.11770434,1.3314942e-06,0.11770434,8.8701125e-07,0.11770434,5.4225646e-07
0.14770434,2.3922448e-06,0.14770434,2.0776125e-06,0.26770434,2.8091701e-06,0.26770434,2.1787252e-06,0.26770434,1.5224734e-06
0.29470434,3.8815689e-06,0.29470434,3.595589e-06,0.41770434,4.4074221e-06,0.34270434,2.9393459e-06,0.34270434,2.1550677e-06
0.44470434,5.3352573e-06,0.44470434,5.1150124e-06,0.56770434,5.8776054e-06,0.44770434,4.0372729e-06,0.39520434,2.6337279e-06
0.59470434,6.5968857e-06,0.59470434,6.4436672e-06,0.71770434,7.0928567e-06,0.59470434,5.508733e-06,0.46870434,3.3351055e-06
0.74470434,7.6139065e-06,0.74470434,7.5072755e-06,0.86770434,8.0164341e-06,0.74470434,6.7932658e-06,0.57160434,4.3368093e-06
0.81970434,8.026886e-06,0.81970434,7.9376595e-06,0.88645434,8.1137512e-06,0.89470434,7.7830612e-06,0.71566434,5.6732243e-06
0.92470434,8.5180437e-06,0.92470434,8.4436991e-06,0.91270434,8.2442317e-06,0.96970434,8.1793823e-06,0.86566434,6.8494538e-06
1.0717043,9.0708918e-06,1.0717043,9.0078096e-06,0.94945434,8.4163921e-06,1.0747043,8.6483769e-06,1.0156643,7.7562263e-06
1.2217043,9.5175726e-06,1.2217043,9.4647389e-06,1.0009043,8.6388186e-06,1.2217043,9.1792192e-06,1.1656643,8.4475322e-06
1.3717043,9.8839106e-06,1.3717043,9.8407074e-06,1.0729343,8.9183616e-06,1.3717043,9.6126553e-06,1.3156643,8.9858228e-06
1.5,1.0150554e-05,1.5,1.0115704e-05,1.1737763,9.2586006e-06,1.5,9.9211799e-06,1.4656643,9.4165337e-06
-,-,-,-,1.3149551,9.6593586e-06,-,-,1.5,9.5033471e-06
-,-,-,-,1.4649551,1.0013874e-05,-,-,-,-
-,-,-,-,1.5,1.0088321e-05,-,-,-,-

